KEY,Spanish
SKILL_NAME_7510,¡¡Haga el Juicio!!
SKILL_NAME_7511,¡¡Haga el Juicio!! II
SKILL_NAME_7512,¡¡Haga el Juicio!! III
SKILL_NAME_7513,¡¡Haga el Juicio!! IV
SKILL_NAME_7520,¡¡Tomaré Prestado su Poder!!
SKILL_NAME_7521,¡¡Tomaré Prestado su Poder!! II
SKILL_NAME_7522,¡¡Tomaré Prestado su Poder!! III
SKILL_NAME_7523,¡¡Tomaré Prestado su Poder!! IV
SKILL_NAME_7530,¡¡Ponle Fin al Sufrimiento!!
SKILL_NAME_7531,¡¡Ponle Fin al Sufrimiento!! II
SKILL_NAME_7532,¡¡Ponle Fin al Sufrimiento!! III
SKILL_NAME_7533,¡¡Ponle Fin al Sufrimiento!! IV
SKILL_NAME_7540,¡¡Demostraré el Poder de mis Antepasados!!
SKILL_NAME_7541,¡¡Demostraré el Poder de mis Antepasados!! II
SKILL_NAME_7542,¡¡Demostraré el Poder de mis Antepasados!! III
SKILL_NAME_7543,¡¡Demostraré el Poder de mis Antepasados!! IV
SKILL_NAME_60007510,¡¡Haga el Juicio!! [Luz]
SKILL_NAME_60007511,¡¡Haga el Juicio!! [Oscuridad]
SKILL_NAME_60007520,¡¡Tomaré Prestado su Poder!! [Luz]
SKILL_NAME_60007521,¡¡Tomaré Prestado su Poder!! [Oscuridad]
SKILL_NAME_60007530,¡¡Póngale Fin al Sufrimiento!! [Luz]
SKILL_NAME_60007531,¡¡Póngale Fin al Sufrimiento!! [Oscuridad]
SKILL_NAME_60007540,¡¡Demostraré el Poder de mis Antepasados!! [Luz]
SKILL_NAME_60007541,¡¡Demostraré el Poder de mis Antepasados!! [Oscuridad]
SKILL_NAME_60007550,Dakaris [Luz]
SKILL_NAME_60007551,Dakaris [Oscuridad]
SKILL_DESC_7510,"Ataca al enemigo y sus alrededores, causa daño mágico de [ffc800]{1}[-] y los aturde por [64ffff]{2}[-]segundos. Recupera la salud de los aliados por [ffc800]{3}[-]. Cuando [¡¡Tomaré Prestado su Poder!!] está activado el tiempo de espera para la reutilización de esta habilidad será reiniciado, se podrá usar esta habilidad tres veces sin tiempo de reutilización."
SKILL_DESC_7511,El daño incrementa un [64ff64]{1}[-] %.
SKILL_DESC_7512,El daño incrementa un [64ff64]{1}[-] %.
SKILL_DESC_7513,El daño incrementa un [64ff64]{1}[-] %.
SKILL_DESC_7520,"Recupera su salud por [ffc800]{2}[-] durante [64ffff]{1}[-] segundos, {3} casillas de mana e incrementa su ataque por [64ff64]{4}[-]. Si la salud está llena al activarse, absorbe [ffc800]{5}[-] de daño y crea un escudo inmune a efectos de estado por [64ff64]{6}[-] segundos. Si hay menos de tres aliados, los efectos aparecerán en todos."
SKILL_DESC_7521,Incrementa el aumento de ataque en un [64ff64]{1}[-] %.
SKILL_DESC_7522,Incrementa el aumento de ataque en un [64ff64]{1}[-] %.
SKILL_DESC_7523,Incrementa el aumento de ataque en un [64ff64]{1}[-] %.
